"8001","2014-11-01",3002,7001,4037,1,10.00
"8002","2014-09-21",3005,7002,4038,2,22.00
"8003","2014-01-01",3008,7001,4039,3,30.00
"8004","2014-02-05",3009,7002,4040,4,44.00
"8005","2014-03-08",3012,7005,4041,5,25.00
"8006","2014-04-15",3015,7006,4042,1,670.00
"8007","2014-05-21",3031,7007,4046,1,25.00
"8008","2014-06-25",3032,7008,4047,2,100.00
"8009","2014-07-28",3019,7009,4048,5,400.00
"8010","2014-08-15",3020,7010,4049,2,120.00
"8011","2014-09-10",3023,7001,4001,3,30.00
"8012","2014-10-25",3026,7001,4002,3,30.00
"8013","2014-11-02",3003,7013,4003,2,300.00
"8014","2014-12-05",3004,7014,4004,1,20.00
"8015","2014-01-09",3010,7015,4005,4,264.00
"8016","2014-01-15",3013,7016,4006,1,2.00
"8017","2014-01-13",3014,7017,4007,2,90.00
"8018","2014-07-25",3021,7018,4008,5,150.00
"8019","2014-07-15",3024,7019,4009,5,725.00
"8020","2014-07-14",3025,7020,4010,5,10.00
"8021","2014-08-14",3001,7021,4011,3,165.00
"8022","2014-08-14",3006,7022,4012,2,28.00
"8023","2014-08-14",3007,7023,4013,1,12.00
"8024","2014-08-14",3011,7001,4014,2,20.00
"8025","2014-10-25",3016,7021,4015,1,55.00
"8026","2014-10-25",3028,7022,4016,1,14.00
"8027","2014-10-25",3029,7027,4017,1,30.00
"8028","2014-07-24",3030,7028,4018,2,190.00
"8029","2014-04-25",3017,7029,4019,1,55.00
"8030","2014-03-25",3018,7030,4020,1,72.00
"8031","2014-06-25",3022,7028,4021,1,95.00
"8032","2014-01-01",3027,7028,4022,4,380.00
"8033","2014-01-01",3002,7028,4023,4,380.00
"8034","2014-09-30",3005,7017,4024,1,45.00
"8035","2014-02-28",3008,7018,4013,2,60.00
"8036","2014-03-05",3009,7019,4014,2,290.00
"8037","2014-04-14",3002,7006,4015,3,2010.00
"8038","2014-01-18",3005,7007,4016,5,125.00
"8039","2014-12-22",3008,7006,4017,1,670.00
"8040","2014-04-27",3009,7007,4010,7,175.00
"8041","2014-04-27",3002,7017,4011,1,45.00
"8042","2014-04-27",3005,7018,4012,2,60.00
"8043","2014-05-06",3008,7019,4013,5,725.00
"8044","2014-01-19",3009,7017,4014,9,405.00
"8045","2014-11-25",3013,7018,4015,3,90.00
"8046","2014-05-18",3014,7019,4016,5,725.00
"8047","2014-05-19",3021,7008,4046,4,200.00
"8048","2014-04-25",3013,7009,4047,4,320.00
"8049","2014-06-13",3014,7008,4048,4,200.00
"8050","2014-05-20",3021,7009,4049,2,160.00
"8051","2014-09-20",3030,7007,4001,3,75.00
"8052","2014-11-20",3017,7008,4038,6,300.00
"8053","2014-11-25",3018,7009,4039,5,400.00
"8054","2014-12-12",3022,7010,4040,2,120.00
"8055","2014-12-13",3030,7008,4042,1,50.00
"8056","2014-12-24",3017,7009,4046,1,80.00
"8057","2014-12-13",3018,7008,4047,2,100.00
"8058","2014-12-05",3022,7009,4014,5,400.00
"8059","2014-12-09",3030,7007,4015,3,75.00
"8060","2014-12-08",3017,7008,4016,4,200.00
"8061","2014-12-24",3018,7008,4046,1,50.00
"8062","2014-12-21",3022,7008,4046,2,100.00
