user_id,store_id,title,salary
3002,2008,Junior Sales Associate,45000
3005,2008,Junior Sales Associate,47000
3008,2002,Junior Sales Associate,55000
3009,2002,Junior Sales Associate,37000
3012,2002,Junior Sales Associate,50000
3015,2004,Junior Sales Associate,51000
3031,2006,Junior Sales Associate,52000
3032,2006,Junior Sales Associate,52500
3019,2003,Junior Sales Associate,53000
3020,2003,Junior Sales Associate,45500
3023,2007,Junior Sales Associate,43500
3026,2001,Junior Sales Associate,42500
3003,2008,Sales Trainee,25000
3004,2008,Sales Trainee,26000
3010,2002,Sales Trainee,27000
3013,2004,Sales Trainee,26500
3014,2004,Sales Trainee,23000
3021,2007,Sales Trainee,22000
3024,2007,Sales Trainee,23500
3025,2001,Sales Trainee,22500
3001,2008,Senior Sales Associate,60000
3006,2008,Senior Sales Associate,65000
3007,2002,Senior Sales Associate,70000
3011,2002,Senior Sales Associate,75000
3016,2004,Senior Sales Associate,77000
3028,2006,Senior Sales Associate,85600
3029,2006,Senior Sales Associate,93500
3030,2006,Senior Sales Associate,65500
3017,2005,Senior Sales Associate,62000
3018,2003,Senior Sales Associate,63500
3022,2007,Senior Sales Associate,74500
3027,2001,Senior Sales Associate,72000
