order_id,order_date,salesperson_id,product_id,customer_id,product_quantity,sales_amount
8051,9/20/14,3030,7007,4001,3,75
8011,9/10/14,3023,7001,4001,3,30
8012,10/25/14,3026,7001,4002,3,30
8013,11/2/14,3003,7013,4003,2,300
8014,12/5/14,3004,7014,4004,1,20
8015,1/9/14,3010,7015,4005,4,264
8016,1/15/14,3013,7016,4006,1,2
8017,1/13/14,3014,7017,4007,2,90
8018,7/25/14,3021,7018,4008,5,150
8019,7/15/14,3024,7019,4009,5,725
8040,4/27/14,3009,7007,4010,7,175
8020,7/14/14,3025,7020,4010,5,10
8041,4/27/14,3002,7017,4011,1,45
8021,8/14/14,3001,7021,4011,3,165
8042,4/27/14,3005,7018,4012,2,60
8022,8/14/14,3006,7022,4012,2,28
8043,5/6/14,3008,7019,4013,5,725
8035,2/28/14,3008,7018,4013,2,60
8023,8/14/14,3007,7023,4013,1,12
8058,12/5/14,3022,7009,4014,5,400
8044,1/19/14,3009,7017,4014,9,405
8036,3/5/14,3009,7019,4014,2,290
8024,8/14/14,3011,7001,4014,2,20
8059,12/9/14,3030,7007,4015,3,75
8045,11/25/14,3013,7018,4015,3,90
8037,4/14/14,3002,7006,4015,3,2010
8025,10/25/14,3016,7021,4015,1,55
8060,12/8/14,3017,7008,4016,4,200
8046,5/18/14,3014,7019,4016,5,725
8038,1/18/14,3005,7007,4016,5,125
8026,10/25/14,3028,7022,4016,1,14
8039,12/22/14,3008,7006,4017,1,670
8027,10/25/14,3029,7027,4017,1,30
8028,7/24/14,3030,7028,4018,2,190
8029,4/25/14,3017,7029,4019,1,55
8030,3/25/14,3018,7030,4020,1,72
8031,6/25/14,3022,7028,4021,1,95
8032,1/1/14,3027,7028,4022,4,380
8033,1/1/14,3002,7028,4023,4,380
8034,9/30/14,3005,7017,4024,1,45
8001,11/1/14,3002,7001,4037,1,10
8052,11/20/14,3017,7008,4038,6,300
8002,9/21/14,3005,7002,4038,2,22
8053,11/25/14,3018,7009,4039,5,400
8003,1/1/14,3008,7001,4039,3,30
8054,12/12/14,3022,7010,4040,2,120
8004,2/5/14,3009,7002,4040,4,44
8005,3/8/14,3012,7005,4041,5,25
8055,12/13/14,3030,7008,4042,1,50
8006,4/15/14,3015,7006,4042,1,670
8062,12/21/14,3022,7008,4046,2,100
8061,12/24/14,3018,7008,4046,1,50
8056,12/24/14,3017,7009,4046,1,80
8047,5/19/14,3021,7008,4046,4,200
8007,5/21/14,3031,7007,4046,1,25
8057,12/13/14,3018,7008,4047,2,100
8048,4/25/14,3013,7009,4047,4,320
8008,6/25/14,3032,7008,4047,2,100
8049,6/13/14,3014,7008,4048,4,200
8009,7/28/14,3019,7009,4048,5,400
8050,5/20/14,3021,7009,4049,2,160
8010,8/15/14,3020,7010,4049,2,120
